region,type_of_violence
Asia,3
Africa,1
Africa,1
Africa,3
Africa,1
Africa,3
Africa,1
Africa,3
Africa,3
Africa,1
Africa,3
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,3
Africa,2
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,3
Africa,1
Africa,1
Africa,3
Africa,3
Africa,3
Africa,1
Africa,3
Africa,1
Africa,3
Africa,1
Africa,3
Africa,1
Africa,1
Africa,1
Africa,3
Africa,1
Africa,1
Africa,3
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,3
Africa,3
Africa,3
Africa,1
Africa,3
Africa,3
Asia,1
Asia,1
Africa,3
Africa,3
Africa,3
Asia,1
Africa,1
Asia,1
Asia,1
Africa,1
Africa,3
Asia,1
Africa,3
Asia,1
Asia,1
Africa,3
Africa,3
Africa,3
Africa,1
Asia,1
Asia,1
Africa,3
Africa,3
Asia,1
Africa,1
Asia,3
Africa,3
Africa,3
Asia,1
Asia,1
Asia,3
Africa,1
Asia,3
Africa,1
Asia,1
Africa,2
Asia,3
Africa,3
Africa,3
Asia,1
Africa,3
Africa,3
Africa,3
Asia,1
Asia,3
Asia,1
Asia,1
Africa,3
Asia,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,3
Africa,1
Africa,2
Africa,1
Africa,2
Africa,2
Africa,3
Africa,3
Africa,3
Africa,3
Africa,3
Africa,3
Africa,3
Africa,1
Africa,1
Africa,3
Africa,3
Africa,1
Africa,1
Africa,1
Africa,3
Africa,3
Africa,1
Asia,1
Africa,2
Africa,3
Africa,3
Africa,3
Africa,1
Africa,1
Africa,1
Africa,3
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,3
Africa,3
Asia,3
Africa,2
Asia,1
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Asia,1
Africa,3
Africa,1
Asia,1
Africa,3
Africa,3
Asia,1
Asia,3
Asia,1
Asia,1
Asia,1
Africa,3
Asia,3
Africa,2
Africa,3
Asia,1
Asia,1
Africa,2
Africa,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Africa,2
Asia,2
Asia,2
Asia,2
Asia,2
Asia,1
Africa,1
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Africa,3
Africa,3
Africa,2
Africa,1
Africa,2
Africa,3
Africa,3
Africa,2
Africa,3
Africa,1
Africa,2
Africa,2
Africa,2
Africa,2
Africa,3
Africa,1
Africa,3
Africa,3
Africa,3
Africa,3
Africa,3
Africa,1
Africa,1
Africa,3
Africa,1
Africa,3
Africa,3
Africa,3
Africa,3
Africa,3
Africa,1
Africa,1
Africa,3
Africa,2
Africa,2
Africa,3
Africa,2
Africa,1
Asia,1
Asia,1
Asia,3
Africa,1
Asia,1
Asia,1
Africa,3
Asia,2
Africa,3
Asia,3
Asia,1
Asia,3
Asia,3
Asia,1
Asia,1
Africa,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,1
Asia,1
Asia,3
Asia,2
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Asia,1
Africa,2
Asia,3
Asia,3
Asia,3
Asia,1
Asia,3
Asia,1
Africa,1
Asia,3
Asia,1
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,2
Asia,2
Asia,2
Asia,2
Asia,3
Africa,1
Africa,1
Africa,1
Africa,1
Asia,3
Asia,3
Africa,1
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,1
Asia,1
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,3
Asia,3
Asia,1
Asia,1
Asia,3
Asia,3
Asia,1
Asia,1
Africa,3
Africa,3
Asia,1
Asia,3
Asia,1
Asia,1
Asia,3
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,1
Asia,3
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,1
Asia,1
Asia,3
Asia,1
Asia,3
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,1
Asia,1
Asia,3
Asia,3
Asia,3
Asia,3
Asia,3
Asia,2
Asia,3
