region,type_of_violence,year
Middle East,1,1997
Middle East,1,1998
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1999
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,3,1999
Middle East,1,2000
Middle East,1,1998
Middle East,1,1998
Middle East,1,2004
Middle East,1,1998
Middle East,1,1998
Africa,3,2003
Middle East,1,1999
Middle East,1,2004
Middle East,1,1997
Middle East,1,1999
Middle East,1,2004
Middle East,1,1999
Middle East,1,1997
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,2001
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Africa,3,1992
Middle East,1,1997
Middle East,3,1995
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,2001
Middle East,1,2000
Middle East,1,2001
Middle East,1,2004
Middle East,1,2001
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,1993
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,2000
Middle East,1,2000
Middle East,1,2000
Middle East,1,2000
Africa,2,1991
Middle East,1,2000
Middle East,1,2001
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,3,1993
Middle East,1,2000
Middle East,1,1999
Middle East,1,2000
Middle East,1,2003
Middle East,1,2004
Middle East,1,2000
Middle East,1,2000
Middle East,1,2000
Middle East,1,2000
Middle East,1,2001
Middle East,1,2001
Middle East,1,2001
Middle East,1,2001
Middle East,1,2001
Middle East,1,2004
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2003
Middle East,1,2004
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,3,1992
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,3,1999
Middle East,1,1999
Middle East,1,1994
Middle East,1,1999
Middle East,1,2000
Middle East,1,2001
Middle East,1,2001
Middle East,1,2001
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,3,1993
Middle East,1,2000
Middle East,1,2000
Middle East,1,2003
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,1,2004
Middle East,3,1992
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1994
Middle East,1,1998
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1993
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,3,1999
Middle East,1,1999
Middle East,1,1999
Middle East,3,1993
Middle East,1,1999
Middle East,1,1999
Middle East,3,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,2004
Middle East,1,2004
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Africa,2,1997
Middle East,1,1999
Middle East,1,2000
Middle East,1,2000
Middle East,1,2000
Middle East,1,1999
Middle East,1,1999
Middle East,1,2000
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Asia,3,2004
Middle East,1,1999
Middle East,3,1999
Middle East,1,2000
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Asia,1,2003
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1997
Middle East,1,1999
Middle East,1,1995
Middle East,1,2000
Middle East,1,2001
Middle East,1,2001
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1999
Middle East,1,1999
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1992
Middle East,1,1999
Middle East,1,1999
Middle East,1,1997
Middle East,1,1993
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1994
Middle East,1,1998
Middle East,1,1998
Middle East,1,1995
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Africa,2,1991
Middle East,1,1998
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,3,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Africa,2,1990
Middle East,1,1998
Middle East,1,1999
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,1,1999
Middle East,1,2015
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1998
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1998
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1998
Middle East,1,1993
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1997
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1999
Middle East,1,1998
Middle East,1,1998
Middle East,1,1999
Middle East,1,1999
Middle East,1,1998
Middle East,1,1998
Middle East,1,1996
Middle East,1,1996
Middle East,1,1996
Middle East,1,1997
Middle East,1,1999
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1997
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1995
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
Middle East,1,1998
